degree_id,degree_name,degree_code,created_at
414,Graduate Certificate of Professional Data Analytics,GC-PAS,2026-02-22 11:50:04.268711+00
415,Microsoft Word Intermediate,SC-MWI,2026-02-22 11:50:04.268711+00
416,Graduate Certificate of Cyber Security,GC-CYBSEC,2026-02-22 11:50:04.268711+00
418,Certificate II in General Education for Adults,22473VIC,2026-02-22 11:50:04.268711+00
419,Graduate Certificate in Applied Business,10840NAT,2026-02-22 11:50:04.268711+00
420,Bachelor of Animation/Bachelor of Applied Innovation,BB-ANIAIN,2026-02-22 11:50:04.268711+00
422,Graduate Certificate of Cyber Security Management,GC-CYMGTS,2026-02-22 11:50:04.268711+00
423,Bachelor of Aviation,BA-AV,2026-02-22 11:50:04.268711+00
424,Work Skill Instructor Skill Set,TAESS00028,2026-02-22 11:50:04.268711+00
425,Diploma of Human Resource Management,BSB50320,2026-02-22 11:50:04.268711+00
426,Certificate IV in Project Management Practice,BSB40920,2026-02-22 11:50:04.268711+00
427,Bachelor of Laws/Bachelor of Science,BB-LAWSC,2026-02-22 11:50:04.268711+00
429,How to have a difficult conversation,DIFFCIS,2026-02-22 11:50:04.268711+00
431,Certificate III in Non-Emergency Patient Transport,HLT31120,2026-02-22 11:50:04.268711+00
432,Bachelor of Social Science,BA-SSS,2026-02-22 11:50:04.268711+00
433,Certificate IV in Work Health and Safety,BSB41419,2026-02-22 11:50:04.268711+00
434,Graduate Certificate of Product Management,GC-PROMS,2026-02-22 11:50:04.268711+00
437,Graduate Diploma of Counselling,GD-COU,2026-02-22 11:50:04.268711+00
439,Certificate II in Electrotechnology,Career Start,2026-02-22 11:50:04.268711+00
440,Master of Construction Management Practice,MA-CMGTP,2026-02-22 11:50:04.268711+00
441,Masterclass: Leader as Coach,MCLAC,2026-02-22 11:50:04.268711+00
442,Diploma of Accounting and Finance,DP-ACCFIN,2026-02-22 11:50:04.268711+00
443,Bachelor of Cyber Security,BA-CYB,2026-02-22 11:50:04.268711+00
444,Bachelor of Exercise and Sport Science,BA-ESS,2026-02-22 11:50:04.268711+00
445,Diploma of Science,UniLink,2026-02-22 11:50:04.268711+00
447,Diploma of Visual Arts,CUA51120,2026-02-22 11:50:04.268711+00
448,Diploma of Arts and Communication,UniLink,2026-02-22 11:50:04.268711+00
449,Bachelor of Criminal Justice and Criminology/Bachelor of Cyber Security,BB-CJCCYB,2026-02-22 11:50:04.268711+00
450,Bachelor of Arts/Bachelor of Business,BB-ARTBUS2,2026-02-22 11:50:04.268711+00
451,Industrial Training Course: PSS®SINCAL Module 1,SH-PSSSIN1,2026-02-22 11:50:04.268711+00
452,Graduate Diploma of Forensic Mental Health Nursing,GD-FMHN,2026-02-22 11:50:04.268711+00
