degree_id,degree_name,degree_code,created_at
81,Certificate III in Information Technology,ICT30120,2026-02-22 11:50:04.268711+00
82,Certificate IV in Entrepreneurship and New Business,BSB40320,2026-02-22 11:50:04.268711+00
83,Certificate IV in Science,22608VIC,2026-02-22 11:50:04.268711+00
84,Certificate IV in School Based Education Support,CHC40221,2026-02-22 11:50:04.268711+00
85,International Study Abroad Program,12 Months,2026-02-22 11:50:04.268711+00
87,Project Management Fundamentals,PRMEIS,2026-02-22 11:50:04.268711+00
88,Bachelor of Aviation Management/Bachelor of Applied Innovation,BB-AVMAIN,2026-02-22 11:50:04.268711+00
89,Master of Writing,MA-WRI,2026-02-22 11:50:04.268711+00
90,Graduate Certificate of Science,Astronomy,2026-02-22 11:50:04.268711+00
91,Diploma of Health Science,UniLink,2026-02-22 11:50:04.268711+00
92,Diploma of Interior Design,MSF50222,2026-02-22 11:50:04.268711+00
93,Diploma of Sport/Diploma of Leadership and Management,SIS50321/BSB50420,2026-02-22 11:50:04.268711+00
94,"Resilience, stress management and mindfulness",RSMIS,2026-02-22 11:50:04.268711+00
95,Graduate Certificate of Professional Accounting,GC-PACC,2026-02-22 11:50:04.268711+00
96,Bachelor of Screen Production/Bachelor of Applied Innovation,BB-SPDAIN,2026-02-22 11:50:04.268711+00
97,Lead Auditor Training,SS-AUDIT1,2026-02-22 11:50:04.268711+00
98,Master of Law,Research,2026-02-22 11:50:04.268711+00
99,"Certificate III in Information, Digital Media and Technology",ICT30118,2026-02-22 11:50:04.268711+00
100,Master of Urban Design,MA-UD,2026-02-22 11:50:04.268711+00
101,Innovation Huddle,DFM-FTSP,2026-02-22 11:50:04.268711+00
102,Diploma of Laboratory Technology,MSL50122,2026-02-22 11:50:04.268711+00
103,Certificate IV in Professional Writing and Editing,CUA40118,2026-02-22 11:50:04.268711+00
105,Master of Professional Accounting,Extended,2026-02-22 11:50:04.268711+00
106,Managing for Maximum Performance,MMXPIS,2026-02-22 11:50:04.268711+00
107,Diploma of Business,UniLink,2026-02-22 11:50:04.268711+00
108,Diploma of Social Media Marketing,10904NAT,2026-02-22 11:50:04.268711+00
109,Advanced Diploma of Engineering Technology - Electrical,UEE62122,2026-02-22 11:50:04.268711+00
110,Master of Entrepreneurship and Innovation,MA-ENTINN5,2026-02-22 11:50:04.268711+00
112,Master of Engineering Science,MA-ENGSC,2026-02-22 11:50:04.268711+00
114,Design Thinking for Organisational Innovation,DFM-DTOI,2026-02-22 11:50:04.268711+00
116,Graduate Diploma of Cyber Security,GD-CYBSEC,2026-02-22 11:50:04.268711+00
117,Master of Design,Research,2026-02-22 11:50:04.268711+00
118,MathsLink: General,NN-MLGEN,2026-02-22 11:50:04.268711+00
120,Bachelor of Design/Bachelor of Applied Innovation,BB-DESAIN,2026-02-22 11:50:04.268711+00
121,Advanced Diploma of Screen and Media,CUA60620,2026-02-22 11:50:04.268711+00
122,Bachelor of Psychological Sciences/Bachelor of Criminal Justice and Criminology,BB-PSYCJC,2026-02-22 11:50:04.268711+00
123,Victorian Certificate of Education,VCE0000001,2026-02-22 11:50:04.268711+00
124,Course in Identifying and Responding to Family Violence Risk,22510VIC,2026-02-22 11:50:04.268711+00
125,Master of Human Resource Management,MA-HRM1,2026-02-22 11:50:04.268711+00
127,Bachelor of Biomedical Science,BA-BIOMSC,2026-02-22 11:50:04.268711+00
128,Graduate Certificate of Engineering,GC-ENG,2026-02-22 11:50:04.268711+00
129,Bachelor of Psychological Sciences/Bachelor of Applied Innovation,BB-PSYAIN,2026-02-22 11:50:04.268711+00
130,Advanced Diploma of Building Design,Architectural,2026-02-22 11:50:04.268711+00
131,Bachelor of Games and Interactivity/Bachelor of Animation,BB-GAMIANI,2026-02-22 11:50:04.268711+00
133,Bachelor of Health Science/Bachelor of Business,BB-HSCBUS1,2026-02-22 11:50:04.268711+00
135,Certificate III in Early Childhood Education and Care,CHC30121,2026-02-22 11:50:04.268711+00
136,Diploma of Design,UniLink,2026-02-22 11:50:04.268711+00
137,Bachelor of Screen Production,BA-SCRPRD1,2026-02-22 11:50:04.268711+00
138,Graduate Certificate of Applied Statistics,GC-APPS,2026-02-22 11:50:04.268711+00
140,Master of Engineering Practice,MA-ENGPRC,2026-02-22 11:50:04.268711+00
141,Certificate III in EAL,Access,2026-02-22 11:50:04.268711+00
143,Master of Information Technology,MA-IT1,2026-02-22 11:50:04.268711+00
144,Certificate IV in Mental Health,CHC43315,2026-02-22 11:50:04.268711+00
145,Master of Supply Chain Innovation,MA-SCI1,2026-02-22 11:50:04.268711+00
146,Graduate Certificate of Urban Design,GC-UD,2026-02-22 11:50:04.268711+00
147,Bachelor of Computer Science,BA-CS,2026-02-22 11:50:04.268711+00
148,Graduate Certificate in Learning and Teaching,Higher Education,2026-02-22 11:50:04.268711+00
149,Bachelor of Business Analytics and Analysis/Bachelor of Business,BB-BAABUS1,2026-02-22 11:50:04.268711+00
150,UniLink Bridging Program,TE-UBP1,2026-02-22 11:50:04.268711+00
151,Microsoft Outlook,SC-MO,2026-02-22 11:50:04.268711+00
152,Bachelor of Business/Bachelor of Applied Innovation,BB-BUSAIN1,2026-02-22 11:50:04.268711+00
153,Bachelor of Media and Communication,Professional,2026-02-22 11:50:04.268711+00
154,Master of Science,Biotechnology,2026-02-22 11:50:04.268711+00
155,Certificate III in Bricklaying and Blocklaying,CPC33020,2026-02-22 11:50:04.268711+00
158,Certificate IV in Photography and Digital Imaging,CUA41120,2026-02-22 11:50:04.268711+00
159,Diploma of Emergency Health Care,HLT51020,2026-02-22 11:50:04.268711+00
160,Bachelor of Computer Science/Bachelor of Applied Innovation,BB-CSAIN,2026-02-22 11:50:04.268711+00
161,Diploma of Graphic Design,CUA50720,2026-02-22 11:50:04.268711+00
162,Writing for the Board – Report writing for strategic influence,BOARDWR,2026-02-22 11:50:04.268711+00
163,Master of Psychology,Clinical Psychology,2026-02-22 11:50:04.268711+00
165,Bachelor of Information and Communication Technology,Professional,2026-02-22 11:50:04.268711+00
169,Master of Construction and Infrastructure Management,MA-CIMGT,2026-02-22 11:50:04.268711+00
170,Diploma of Professional Writing and Editing,CUA50118,2026-02-22 11:50:04.268711+00
171,Graduate Certificate of Educational Studies,GC-EDUSTU1,2026-02-22 11:50:04.268711+00
172,Diploma of Digital Marketing,10931NAT,2026-02-22 11:50:04.268711+00
173,Microsoft Excel Introduction,EXCAIS,2026-02-22 11:50:04.268711+00
174,Bachelor of Business,BA-BUS11S,2026-02-22 11:50:04.268711+00
176,Microsoft Word Advanced,SC-MWA,2026-02-22 11:50:04.268711+00
177,Graduate Certificate of Entrepreneurship,GC-ENT,2026-02-22 11:50:04.268711+00
178,Graduate Certificate in Construction Management,GC-CMGT,2026-02-22 11:50:04.268711+00
179,Bachelor of Health Science/Bachelor of Arts,BB-HSCART,2026-02-22 11:50:04.268711+00
180,Bachelor of Circus Arts,BA-CIRCA1,2026-02-22 11:50:04.268711+00
181,Graduate Certificate in Forensic Mental Health Nursing,GC-FMHN,2026-02-22 11:50:04.268711+00
183,Certificate III in Plumbing,CPC32420,2026-02-22 11:50:04.268711+00
184,Bachelor of Health Science/Bachelor of Applied Innovation,BB-HSCAIN,2026-02-22 11:50:04.268711+00
